timestamp,temperature,humidity
18-10-2025 18:24,24.6,99.7
18-10-2025 18:24,24.7,99.5
18-10-2025 18:24,24.7,99.2
18-10-2025 18:24,24.7,99
18-10-2025 18:25,24.7,99
18-10-2025 18:25,24.8,99.4
18-10-2025 18:25,24.7,99.2
18-10-2025 18:25,24.7,99.4
18-10-2025 18:25,24.7,99.2
18-10-2025 18:25,24.7,99.3
18-10-2025 18:25,24.7,99.6
18-10-2025 18:25,24.7,99.6
18-10-2025 18:25,24.7,99.6
18-10-2025 18:25,24.7,99.6
18-10-2025 18:25,24.7,98.9
18-10-2025 18:25,24.7,99.4
18-10-2025 18:26,24.7,99.3
18-10-2025 18:26,24.6,99.7
18-10-2025 18:26,24.6,99.1
18-10-2025 18:26,24.6,99.4
18-10-2025 18:26,24.5,99.8
18-10-2025 18:26,24.5,99.9
18-10-2025 18:26,24.4,99.2
18-10-2025 18:26,24.4,99.9
18-10-2025 18:26,24.3,99.7
18-10-2025 18:26,24.3,99.9
18-10-2025 18:26,24.2,99.9
18-10-2025 18:26,24.2,99.5
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.1,99.9
18-10-2025 18:27,24.2,99.9
18-10-2025 18:27,24.2,99.9
18-10-2025 18:27,24.3,99.9
18-10-2025 18:27,24.4,99.9
18-10-2025 18:27,24.4,99.9
18-10-2025 18:28,24.5,99.9
18-10-2025 18:28,24.6,99.9
18-10-2025 18:28,24.6,99.9
18-10-2025 18:28,24.7,99.8
18-10-2025 18:28,24.7,99.5
18-10-2025 18:28,24.8,99.3
18-10-2025 18:28,24.9,99
18-10-2025 18:28,24.9,98.6
18-10-2025 18:28,25,98.3
18-10-2025 18:28,25,98.1
18-10-2025 18:28,25.1,98
18-10-2025 18:28,25.2,97.8
18-10-2025 18:29,25.2,97.5
18-10-2025 18:29,25.3,97.3
18-10-2025 18:29,25.4,97.1
18-10-2025 18:29,25.4,97
18-10-2025 18:29,25.4,96.9
18-10-2025 18:29,25.5,96.8
18-10-2025 18:29,25.5,96.6
18-10-2025 18:29,25.6,96.6
18-10-2025 18:29,25.6,96.5
18-10-2025 18:29,25.6,96.6
18-10-2025 18:29,25.6,96.2
18-10-2025 18:29,25.6,96.4
18-10-2025 18:30,25.7,96.4
18-10-2025 18:30,25.7,96.1
18-10-2025 18:30,25.7,96
18-10-2025 18:30,25.7,95.8
18-10-2025 18:30,25.8,95.7
18-10-2025 18:30,25.8,95.5
18-10-2025 18:30,25.9,95.5
18-10-2025 18:30,25.9,95.3
18-10-2025 18:30,25.9,95.2
18-10-2025 18:30,26,95.1
18-10-2025 18:30,26,94.9
18-10-2025 18:30,26,94.8
18-10-2025 18:31,26,94.7
18-10-2025 18:31,26.1,94.6
18-10-2025 18:31,26.1,94.5
18-10-2025 18:31,26.1,94.5
18-10-2025 18:31,26.1,94.5
18-10-2025 18:31,26.1,94.2
18-10-2025 18:31,26.1,94.3
18-10-2025 18:31,26.1,94.1
18-10-2025 18:31,26.1,94.1
18-10-2025 18:31,26,95
18-10-2025 18:31,25.9,94.6
