timestamp,motion_detected
2025-10-20 11:54:14,1
2025-10-20 11:54:16,0
2025-10-20 11:54:18,0
2025-10-20 11:54:20,0
2025-10-20 11:54:22,0
2025-10-20 11:54:24,0
2025-10-20 11:54:27,0
2025-10-20 11:54:28,0
2025-10-20 11:54:30,0
2025-10-20 11:54:32,0
2025-10-20 11:54:34,0
2025-10-20 11:54:36,0
2025-10-20 11:54:38,0
2025-10-20 11:54:40,0
2025-10-20 11:54:42,0
2025-10-20 11:54:44,0
2025-10-20 11:54:46,0
2025-10-20 11:54:48,0
2025-10-20 11:54:50,0
2025-10-20 11:54:52,0
2025-10-20 11:54:54,0
2025-10-20 11:54:56,0
2025-10-20 11:54:58,1
2025-10-20 11:55:01,0
2025-10-20 11:55:02,1
2025-10-20 11:55:04,0
2025-10-20 11:55:06,0
2025-10-20 11:55:08,1
2025-10-20 11:55:10,0
2025-10-20 11:55:12,0
2025-10-20 11:55:14,1
2025-10-20 11:55:16,1
2025-10-20 11:55:18,0
2025-10-20 11:55:20,0
2025-10-20 11:55:22,1
2025-10-20 11:55:24,0
2025-10-20 11:55:26,0
2025-10-20 11:55:28,1
2025-10-20 11:55:30,1
2025-10-20 11:55:32,0
2025-10-20 11:55:34,0
2025-10-20 11:55:36,0
2025-10-20 11:55:38,0
2025-10-20 11:55:40,1
2025-10-20 11:55:42,1
2025-10-20 11:55:44,1
2025-10-20 11:55:46,1
2025-10-20 11:55:48,1
2025-10-20 11:55:51,1
2025-10-20 11:55:52,1
2025-10-20 11:55:54,1
2025-10-20 11:55:56,1
2025-10-20 11:55:58,1
2025-10-20 11:56:00,1
2025-10-20 11:56:02,0
2025-10-20 11:56:04,0
2025-10-20 11:56:06,1
2025-10-20 11:56:08,1
2025-10-20 11:56:10,1
2025-10-20 11:56:12,0
2025-10-20 11:56:14,0
2025-10-20 11:56:16,1
2025-10-20 11:56:18,0
2025-10-20 11:56:20,0
2025-10-20 11:56:22,1
2025-10-20 11:56:24,0
2025-10-20 11:56:27,0
2025-10-20 11:56:28,0
2025-10-20 11:56:30,0
2025-10-20 11:56:32,0
2025-10-20 11:56:34,1
2025-10-20 11:56:36,0
2025-10-20 11:56:38,0
2025-10-20 11:56:40,1
2025-10-20 11:56:42,0
2025-10-20 11:56:44,0
2025-10-20 11:56:46,1
2025-10-20 11:56:48,0
2025-10-20 11:56:50,0
2025-10-20 11:56:52,0
2025-10-20 11:56:54,0
2025-10-20 11:56:56,0
2025-10-20 11:56:58,0
2025-10-20 11:57:01,0
2025-10-20 11:57:02,0
2025-10-20 11:57:04,0
2025-10-20 11:57:06,0
2025-10-20 11:57:09,1
2025-10-20 11:57:10,0
2025-10-20 11:57:12,0
2025-10-20 11:57:14,0
2025-10-20 11:57:16,0
2025-10-20 11:57:18,1
2025-10-20 11:57:20,0
2025-10-20 11:57:22,0
2025-10-20 11:57:24,0
2025-10-20 11:57:26,1
2025-10-20 11:57:28,0
2025-10-20 11:57:30,0
2025-10-20 11:57:32,0
2025-10-20 11:57:35,0
2025-10-20 11:57:36,1
2025-10-20 11:57:38,1
2025-10-20 11:57:40,1
2025-10-20 11:57:43,1
2025-10-20 11:57:44,1
2025-10-20 11:57:46,0
2025-10-20 11:57:48,0
2025-10-20 11:57:50,0
2025-10-20 11:57:52,0
2025-10-20 11:57:54,0
2025-10-20 11:57:56,1
2025-10-20 11:57:58,1
2025-10-20 11:58:00,0
2025-10-20 11:58:02,0
2025-10-20 11:58:04,0
2025-10-20 11:58:06,0
2025-10-20 11:58:08,0
2025-10-20 11:58:10,0
2025-10-20 11:58:13,0
2025-10-20 11:58:14,0
2025-10-20 11:58:16,1
2025-10-20 11:58:18,0
2025-10-20 11:58:20,0
2025-10-20 11:58:22,0
2025-10-20 11:58:25,1
2025-10-20 11:58:26,0
2025-10-20 11:58:28,0
2025-10-20 11:58:30,0
2025-10-20 11:58:32,0
2025-10-20 11:58:34,0
2025-10-20 11:58:36,0
2025-10-20 11:58:38,0
2025-10-20 11:58:40,0
2025-10-20 11:58:43,0
2025-10-20 11:58:44,0
2025-10-20 11:58:46,0
2025-10-20 11:58:48,0
2025-10-20 11:58:50,0
2025-10-20 11:58:52,0
2025-10-20 11:58:54,0
2025-10-20 11:58:56,0
2025-10-20 11:58:58,0
2025-10-20 11:59:00,0
2025-10-20 11:59:02,0
2025-10-20 11:59:04,0
2025-10-20 11:59:06,0
2025-10-20 11:59:08,0
2025-10-20 11:59:10,0
2025-10-20 11:59:12,0
2025-10-20 11:59:14,0
2025-10-20 11:59:17,0
2025-10-20 11:59:18,0
2025-10-20 11:59:20,0
2025-10-20 11:59:22,0
2025-10-20 11:59:24,0
2025-10-20 11:59:26,0
2025-10-20 11:59:28,0
2025-10-20 11:59:30,0
2025-10-20 11:59:32,0
2025-10-20 11:59:34,0
2025-10-20 11:59:36,1
2025-10-20 11:59:38,0
2025-10-20 11:59:40,0
2025-10-20 11:59:42,0
2025-10-20 11:59:44,0
2025-10-20 11:59:46,0
2025-10-20 11:59:48,0
2025-10-20 11:59:50,0
2025-10-20 11:59:53,0
2025-10-20 11:59:54,1
2025-10-20 11:59:56,1
2025-10-20 11:59:58,0
2025-10-20 12:00:00,0
2025-10-20 12:00:02,1
2025-10-20 12:00:04,0
2025-10-20 12:00:06,0
2025-10-20 12:00:08,1
2025-10-20 12:00:10,0
2025-10-20 12:00:13,0
2025-10-20 12:00:14,1
2025-10-20 12:00:16,0
2025-10-20 12:00:18,0
2025-10-20 12:00:20,1
2025-10-20 12:00:22,0
2025-10-20 12:00:25,0
2025-10-20 12:00:26,0
2025-10-20 12:00:28,0
2025-10-20 12:00:30,0
2025-10-20 12:00:33,0
2025-10-20 12:00:34,0
2025-10-20 12:00:37,1
2025-10-20 12:00:38,0
2025-10-20 12:00:40,0
2025-10-20 12:00:42,1
2025-10-20 12:00:44,0
2025-10-20 12:00:46,0
2025-10-20 12:00:48,0
2025-10-20 12:00:51,0
2025-10-20 12:00:52,1
2025-10-20 12:00:54,0
2025-10-20 12:00:56,0
2025-10-20 12:00:59,1
2025-10-20 12:01:00,1
2025-10-20 12:01:03,0
2025-10-20 12:01:04,0
2025-10-20 12:01:06,0
2025-10-20 12:01:08,0
2025-10-20 12:01:10,0
2025-10-20 12:01:12,1
2025-10-20 12:01:15,0
2025-10-20 12:01:16,0
2025-10-20 12:01:18,0
2025-10-20 12:01:20,0
2025-10-20 12:01:22,0
2025-10-20 12:01:24,0
2025-10-20 12:01:26,0
2025-10-20 12:01:28,0
2025-10-20 12:01:30,0
2025-10-20 12:01:33,0
2025-10-20 12:01:34,0
2025-10-20 12:01:36,0
2025-10-20 12:01:38,0
2025-10-20 12:01:40,1
2025-10-20 12:01:42,0
2025-10-20 12:01:44,0
2025-10-20 12:01:46,1
2025-10-20 12:01:48,0
2025-10-20 12:01:50,0
2025-10-20 12:01:52,1
2025-10-20 12:01:54,0
2025-10-20 12:01:56,0
2025-10-20 12:01:58,0
2025-10-20 12:02:01,1
2025-10-20 12:02:02,1
2025-10-20 12:02:04,1
2025-10-20 12:02:06,0
2025-10-20 12:02:08,0
2025-10-20 12:02:10,1
2025-10-20 12:02:12,1
2025-10-20 12:02:14,1
2025-10-20 12:02:17,0
2025-10-20 12:02:18,0
2025-10-20 12:02:20,1
2025-10-20 12:02:22,0
2025-10-20 12:02:24,0
2025-10-20 12:02:26,1
2025-10-20 12:02:28,0
2025-10-20 12:02:30,0
2025-10-20 12:02:32,0
2025-10-20 12:02:34,1
2025-10-20 12:02:36,1
2025-10-20 12:02:38,1
2025-10-20 12:02:40,0
2025-10-20 12:02:42,0
2025-10-20 12:02:44,0
2025-10-20 12:02:46,0
2025-10-20 12:02:48,0
2025-10-20 12:02:50,0
2025-10-20 12:02:52,0
2025-10-20 12:02:54,1
2025-10-20 12:02:56,1
2025-10-20 12:02:58,1
2025-10-20 12:03:00,0
2025-10-20 12:03:02,0
2025-10-20 12:03:04,1
2025-10-20 12:03:06,0
2025-10-20 12:03:08,0
2025-10-20 12:03:10,0
2025-10-20 12:03:12,0
2025-10-20 12:03:15,0
2025-10-20 12:03:16,0
2025-10-20 12:03:18,0
2025-10-20 12:03:20,0
2025-10-20 12:03:22,0
2025-10-20 12:03:24,0
2025-10-20 12:03:26,0
2025-10-20 12:03:28,0
2025-10-20 12:03:30,0
2025-10-20 12:03:32,0
2025-10-20 12:03:34,1
2025-10-20 12:03:36,0
2025-10-20 12:03:38,0
2025-10-20 12:03:40,0
2025-10-20 12:03:42,0
2025-10-20 12:03:44,0
2025-10-20 12:03:46,0
2025-10-20 12:03:48,0
2025-10-20 12:03:50,0
