timestamp,device_id,temperature,humidity,motion,motion_detected,status,error_message,attack_type
20-10-2025 11:54,-,-,-,1,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,0,-,-,-,normal
20-10-2025 11:54,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,0,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:55,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,1,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:56,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,1,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,1,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,1,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
20-10-2025 11:57,-,-,-,0,-,-,-,normal
