device_id,temperature,humidity,motion,status,error_message
station1,26.2,85.2,N/A,OK,-
station1,26.3,85.1,N/A,OK,-
station1,26.3,85.1,N/A,OK,-
station1,26.3,85.1,N/A,OK,-
station1,26.3,85.1,N/A,OK,-
station1,26.3,85.1,N/A,OK,-
station1,26.3,85.1,N/A,OK,-
station1,26.3,85.0,N/A,OK,-
station1,26.3,85.0,N/A,OK,-
station1,26.3,85.0,N/A,OK,-
station1,26.3,85.0,N/A,OK,-
station1,26.3,84.9,N/A,OK,-
station1,26.3,84.8,N/A,OK,-
station1,26.3,84.4,N/A,OK,-
station1,26.3,84.7,N/A,OK,-
station1,26.3,84.7,N/A,OK,-
station1,26.3,84.7,N/A,OK,-
station1,26.3,84.7,N/A,OK,-
station1,26.3,84.6,N/A,OK,-
station1,26.3,84.6,N/A,OK,-
station1,26.3,84.6,N/A,OK,-
station1,26.4,84.6,N/A,OK,-
station1,26.4,84.6,N/A,OK,-
station1,26.4,84.6,N/A,OK,-
station1,26.4,84.5,N/A,OK,-
station1,26.4,84.5,N/A,OK,-
station1,26.4,84.6,N/A,OK,-
station1,26.4,84.6,N/A,OK,-
station1,26.4,84.5,N/A,OK,-
station1,26.4,84.5,N/A,OK,-
station1,26.4,84.5,N/A,OK,-
station1,26.4,84.5,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.0,N/A,OK,-
station1,26.4,84.1,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.1,N/A,OK,-
station1,26.4,84.1,N/A,OK,-
station1,26.4,84.1,N/A,OK,-
station1,26.4,83.9,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.1,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.1,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.2,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.4,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.3,N/A,OK,-
station1,26.4,84.0,N/A,OK,-
