timestamp,temperature,humidity
2025-10-18 18:24:42,24.6,99.7
2025-10-18 18:24:47,24.7,99.5
2025-10-18 18:24:52,24.7,99.2
2025-10-18 18:24:57,24.7,99.0
2025-10-18 18:25:02,24.7,99.0
2025-10-18 18:25:07,24.8,99.4
2025-10-18 18:25:12,24.7,99.2
2025-10-18 18:25:17,24.7,99.4
2025-10-18 18:25:22,24.7,99.2
2025-10-18 18:25:27,24.7,99.3
2025-10-18 18:25:32,24.7,99.6
2025-10-18 18:25:37,24.7,99.6
2025-10-18 18:25:42,24.7,99.6
2025-10-18 18:25:47,24.7,99.6
2025-10-18 18:25:52,24.7,98.9
2025-10-18 18:25:57,24.7,99.4
2025-10-18 18:26:02,24.7,99.3
2025-10-18 18:26:07,24.6,99.7
2025-10-18 18:26:12,24.6,99.1
2025-10-18 18:26:17,24.6,99.4
2025-10-18 18:26:22,24.5,99.8
2025-10-18 18:26:27,24.5,99.9
2025-10-18 18:26:32,24.4,99.2
2025-10-18 18:26:37,24.4,99.9
2025-10-18 18:26:42,24.3,99.7
2025-10-18 18:26:47,24.3,99.9
2025-10-18 18:26:52,24.2,99.9
2025-10-18 18:26:57,24.2,99.5
2025-10-18 18:27:02,24.1,99.9
2025-10-18 18:27:07,24.1,99.9
2025-10-18 18:27:12,24.1,99.9
2025-10-18 18:27:17,24.1,99.9
2025-10-18 18:27:22,24.1,99.9
2025-10-18 18:27:27,24.1,99.9
2025-10-18 18:27:32,24.1,99.9
2025-10-18 18:27:37,24.2,99.9
2025-10-18 18:27:42,24.2,99.9
2025-10-18 18:27:47,24.3,99.9
2025-10-18 18:27:52,24.4,99.9
2025-10-18 18:27:57,24.4,99.9
2025-10-18 18:28:02,24.5,99.9
2025-10-18 18:28:07,24.6,99.9
2025-10-18 18:28:12,24.6,99.9
2025-10-18 18:28:17,24.7,99.8
2025-10-18 18:28:22,24.7,99.5
2025-10-18 18:28:27,24.8,99.3
2025-10-18 18:28:32,24.9,99.0
2025-10-18 18:28:37,24.9,98.6
2025-10-18 18:28:42,25.0,98.3
2025-10-18 18:28:47,25.0,98.1
2025-10-18 18:28:52,25.1,98.0
2025-10-18 18:28:57,25.2,97.8
2025-10-18 18:29:02,25.2,97.5
2025-10-18 18:29:07,25.3,97.3
2025-10-18 18:29:12,25.4,97.1
2025-10-18 18:29:17,25.4,97.0
2025-10-18 18:29:22,25.4,96.9
2025-10-18 18:29:27,25.5,96.8
2025-10-18 18:29:32,25.5,96.6
2025-10-18 18:29:37,25.6,96.6
2025-10-18 18:29:42,25.6,96.5
2025-10-18 18:29:47,25.6,96.6
2025-10-18 18:29:52,25.6,96.2
2025-10-18 18:29:57,25.6,96.4
2025-10-18 18:30:02,25.7,96.4
2025-10-18 18:30:07,25.7,96.1
2025-10-18 18:30:12,25.7,96.0
2025-10-18 18:30:17,25.7,95.8
2025-10-18 18:30:22,25.8,95.7
2025-10-18 18:30:27,25.8,95.5
2025-10-18 18:30:32,25.9,95.5
